Epoch 0 | Train loss tensor(117.1345, device='cuda:0') | Val Loss tensor(113.2494, device='cuda:0') | Dropout 0.0 0.0
Epoch 1 | Train loss tensor(116.8821, device='cuda:0') | Val Loss tensor(113.2705, device='cuda:0') | Dropout 0.0 0.0
Epoch 2 | Train loss tensor(116.7548, device='cuda:0') | Val Loss tensor(113.1512, device='cuda:0') | Dropout 0.0 0.0
Epoch 3 | Train loss tensor(116.6547, device='cuda:0') | Val Loss tensor(113.2291, device='cuda:0') | Dropout 0.0 0.0
Epoch 4 | Train loss tensor(116.7703, device='cuda:0') | Val Loss tensor(112.9945, device='cuda:0') | Dropout 0.0 0.0
Epoch 5 | Train loss tensor(116.9922, device='cuda:0') | Val Loss tensor(113.3065, device='cuda:0') | Dropout 0.0 0.0
Epoch 6 | Train loss tensor(116.9718, device='cuda:0') | Val Loss tensor(113.1615, device='cuda:0') | Dropout 0.0 0.0
Epoch 7 | Train loss tensor(117.0587, device='cuda:0') | Val Loss tensor(113.0349, device='cuda:0') | Dropout 0.0 0.0
Epoch 8 | Train loss tensor(116.9033, device='cuda:0') | Val Loss tensor(113.0965, device='cuda:0') | Dropout 0.0 0.0
Epoch 9 | Train loss tensor(116.9389, device='cuda:0') | Val Loss tensor(113.2420, device='cuda:0') | Dropout 0.0 0.0
Epoch 10 | Train loss tensor(116.9579, device='cuda:0') | Val Loss tensor(113.1779, device='cuda:0') | Dropout 0.0 0.0
Epoch 11 | Train loss tensor(116.9627, device='cuda:0') | Val Loss tensor(113.3006, device='cuda:0') | Dropout 0.0 0.0
Epoch 12 | Train loss tensor(116.8755, device='cuda:0') | Val Loss tensor(112.8794, device='cuda:0') | Dropout 0.0 0.0
Epoch 13 | Train loss tensor(116.9685, device='cuda:0') | Val Loss tensor(113.0703, device='cuda:0') | Dropout 0.0 0.0
Epoch 14 | Train loss tensor(116.8795, device='cuda:0') | Val Loss tensor(112.9971, device='cuda:0') | Dropout 0.0 0.0
Epoch 15 | Train loss tensor(116.9801, device='cuda:0') | Val Loss tensor(113.4671, device='cuda:0') | Dropout 0.0 0.0
Epoch 16 | Train loss tensor(117.0260, device='cuda:0') | Val Loss tensor(112.9067, device='cuda:0') | Dropout 0.0 0.0
Epoch 17 | Train loss tensor(117.0021, device='cuda:0') | Val Loss tensor(113.1112, device='cuda:0') | Dropout 0.0 0.0
Epoch 18 | Train loss tensor(116.9880, device='cuda:0') | Val Loss tensor(113.0457, device='cuda:0') | Dropout 0.0 0.0
Epoch 19 | Train loss tensor(116.9271, device='cuda:0') | Val Loss tensor(112.9363, device='cuda:0') | Dropout 0.0 0.0
Epoch 20 | Train loss tensor(117.0180, device='cuda:0') | Val Loss tensor(113.4636, device='cuda:0') | Dropout 0.0 0.0
Epoch 21 | Train loss tensor(116.9305, device='cuda:0') | Val Loss tensor(113.3547, device='cuda:0') | Dropout 0.0 0.0
Epoch 22 | Train loss tensor(117.0268, device='cuda:0') | Val Loss tensor(113.1226, device='cuda:0') | Dropout 0.0 0.0
Epoch 23 | Train loss tensor(116.9028, device='cuda:0') | Val Loss tensor(113.1624, device='cuda:0') | Dropout 0.0 0.0
Epoch 24 | Train loss tensor(116.9670, device='cuda:0') | Val Loss tensor(113.2948, device='cuda:0') | Dropout 0.0 0.0
Epoch 25 | Train loss tensor(116.9349, device='cuda:0') | Val Loss tensor(112.9195, device='cuda:0') | Dropout 0.0 0.0
Epoch 26 | Train loss tensor(116.9535, device='cuda:0') | Val Loss tensor(113.3717, device='cuda:0') | Dropout 0.0 0.0
Epoch 27 | Train loss tensor(117.0049, device='cuda:0') | Val Loss tensor(113.1783, device='cuda:0') | Dropout 0.0 0.0
Epoch 28 | Train loss tensor(117.0643, device='cuda:0') | Val Loss tensor(113.2813, device='cuda:0') | Dropout 0.0 0.0
Epoch 29 | Train loss tensor(117.1810, device='cuda:0') | Val Loss tensor(113.6268, device='cuda:0') | Dropout 0.0 0.0
Epoch 30 | Train loss tensor(117.0623, device='cuda:0') | Val Loss tensor(112.9919, device='cuda:0') | Dropout 0.0 0.0
Epoch 31 | Train loss tensor(117.0423, device='cuda:0') | Val Loss tensor(112.9546, device='cuda:0') | Dropout 0.0 0.0
Epoch 32 | Train loss tensor(117.0763, device='cuda:0') | Val Loss tensor(113.8727, device='cuda:0') | Dropout 0.0 0.0
Epoch 33 | Train loss tensor(117.1460, device='cuda:0') | Val Loss tensor(112.9324, device='cuda:0') | Dropout 0.0 0.0
Epoch 34 | Train loss tensor(117.0428, device='cuda:0') | Val Loss tensor(113.2397, device='cuda:0') | Dropout 0.0 0.0
Epoch 35 | Train loss tensor(117.0250, device='cuda:0') | Val Loss tensor(113.7729, device='cuda:0') | Dropout 0.0 0.0
Epoch 36 | Train loss tensor(116.9469, device='cuda:0') | Val Loss tensor(112.8584, device='cuda:0') | Dropout 0.0 0.0
Epoch 37 | Train loss tensor(117.1102, device='cuda:0') | Val Loss tensor(113.8089, device='cuda:0') | Dropout 0.0 0.0
Epoch 38 | Train loss tensor(117.1246, device='cuda:0') | Val Loss tensor(112.9152, device='cuda:0') | Dropout 0.0 0.0
Epoch 39 | Train loss tensor(117.0333, device='cuda:0') | Val Loss tensor(113.6454, device='cuda:0') | Dropout 0.0 0.0
Epoch 40 | Train loss tensor(117.1428, device='cuda:0') | Val Loss tensor(113.0952, device='cuda:0') | Dropout 0.0 0.0
Epoch 41 | Train loss tensor(117.1218, device='cuda:0') | Val Loss tensor(113.2563, device='cuda:0') | Dropout 0.0 0.0
Epoch 42 | Train loss tensor(117.1451, device='cuda:0') | Val Loss tensor(113.4482, device='cuda:0') | Dropout 0.0 0.0
Epoch 43 | Train loss tensor(117.0523, device='cuda:0') | Val Loss tensor(113.4764, device='cuda:0') | Dropout 0.0 0.0
Epoch 44 | Train loss tensor(117.0702, device='cuda:0') | Val Loss tensor(113.2447, device='cuda:0') | Dropout 0.0 0.0
Epoch 45 | Train loss tensor(117.0881, device='cuda:0') | Val Loss tensor(113.9196, device='cuda:0') | Dropout 0.0 0.0
